timestamp,price_close
1660431599,9.70213420225713e-05
1660435199,9.695553293652275e-05
1660438799,9.72155171302054e-05
1660442399,9.729958648008503e-05
1660445999,9.745591713126554e-05
1660449599,9.729397907205432e-05
1660453199,9.715113282734045e-05
1660456799,9.727362969804744e-05
1660460399,9.746833962687417e-05
1660463999,9.834064306030455e-05
1660467599,9.738020365939831e-05
1660471199,9.787229582406997e-05
1660474799,9.782264049845077e-05
1660478399,9.769200398390987e-05
1660481999,9.740777564559884e-05
1660485599,9.746166252214143e-05
1660489199,9.727899050137038e-05
1660492799,9.711765981330317e-05
1660496399,0.00010780482456834866
1660499999,0.00010197268722080096
1660503599,0.00010147631389635407
1660507199,0.00010133976649028564
1660510799,0.00010047287143310766
1660514399,0.00010016993618361852
1660517999,0.0001007697055742905
1660521599,0.00010036652799753927
1660525199,0.00010176517698288107
1660528799,0.0001014858961438094
1660532399,9.812747449157715e-05
1660535999,9.912118481282303e-05
1660539599,9.868022426270626e-05
1660543199,9.914143609240468e-05
1660546799,9.676433381775088e-05
1660550399,9.612310260455162e-05
1660553999,9.650347822073407e-05
1660557599,9.685993169540858e-05
1660561199,9.708204308995617e-05
1660564799,9.634059215114633e-05
1660568399,9.610860247654642e-05
1660571999,9.64590181687259e-05
1660575599,9.645023752543975e-05
1660579199,9.820644604290868e-05
1660582799,9.809322340439248e-05
1660586399,9.73503663993508e-05
1660589999,9.726183130699427e-05
1660593599,9.690915671938172e-05
1660597199,9.672547386106999e-05
1660600799,9.702466838050792e-05
1660604399,9.6427247793411e-05
1660607999,9.664899496511689e-05
1660611599,9.62627211925153e-05
1660615199,9.661590534562945e-05
1660618799,9.614368857778773e-05
1660622399,9.638614623722052e-05
1660625999,9.598576814778581e-05
1660629599,9.598512925015098e-05
1660633199,9.627588027364335e-05
1660636799,9.634870194365078e-05
1660640399,9.699386902585719e-05
1660643999,9.750421218319341e-05
1660647599,9.69980491255143e-05
1660651199,9.730406950037682e-05
1660654799,9.697121274139724e-05
1660658399,9.65782610880097e-05
1660661999,9.66363168584553e-05
1660665599,9.684842573731294e-05
1660669199,9.697545001441084e-05
1660672799,9.725784550354219e-05
1660676399,9.695157086170562e-05
1660679999,9.699914084465932e-05
1660683599,9.712169337709095e-05
1660687199,9.70365193611177e-05
1660690799,9.717222490071858e-05
1660694399,9.7133981986269e-05
1660697999,9.717334024493756e-05
1660701599,9.704989281974928e-05
1660705199,9.740666804590365e-05
1660708799,9.74363844502174e-05
1660712399,9.76461878350314e-05
